month,level_1,value
1980-01,Total Aircraft Arrivals And Departures,6501
1980-01,Total Passengers,566879
1980-02,Total Aircraft Arrivals And Departures,6112
1980-02,Total Passengers,552263
1980-03,Total Aircraft Arrivals And Departures,6391
1980-03,Total Passengers,597644
1980-04,Total Aircraft Arrivals And Departures,6247
1980-04,Total Passengers,561218
1980-05,Total Aircraft Arrivals And Departures,6301
1980-05,Total Passengers,587003
1980-06,Total Aircraft Arrivals And Departures,6094
1980-06,Total Passengers,594860
1980-07,Total Aircraft Arrivals And Departures,6279
1980-07,Total Passengers,618380
1980-08,Total Aircraft Arrivals And Departures,6553
1980-08,Total Passengers,684907
1980-09,Total Aircraft Arrivals And Departures,6245
1980-09,Total Passengers,585076
1980-10,Total Aircraft Arrivals And Departures,6461
1980-10,Total Passengers,611995
1980-11,Total Aircraft Arrivals And Departures,6326
1980-11,Total Passengers,640824
1980-12,Total Aircraft Arrivals And Departures,6461
1980-12,Total Passengers,693500
1981-01,Total Aircraft Arrivals And Departures,6294
1981-01,Total Passengers,630711
1981-02,Total Aircraft Arrivals And Departures,5784
1981-02,Total Passengers,619577
1981-03,Total Aircraft Arrivals And Departures,6258
1981-03,Total Passengers,645765
1981-04,Total Aircraft Arrivals And Departures,5752
1981-04,Total Passengers,629547
1981-05,Total Aircraft Arrivals And Departures,5872
1981-05,Total Passengers,627592
1981-06,Total Aircraft Arrivals And Departures,5757
1981-06,Total Passengers,674922
1981-07,Total Aircraft Arrivals And Departures,6009
1981-07,Total Passengers,706279
1981-08,Total Aircraft Arrivals And Departures,6069
1981-08,Total Passengers,774005
1981-09,Total Aircraft Arrivals And Departures,5849
1981-09,Total Passengers,665399
1981-10,Total Aircraft Arrivals And Departures,5944
1981-10,Total Passengers,688913
1981-11,Total Aircraft Arrivals And Departures,5755
1981-11,Total Passengers,716405
1981-12,Total Aircraft Arrivals And Departures,6022
1981-12,Total Passengers,773043
1982-01,Total Aircraft Arrivals And Departures,5958
1982-01,Total Passengers,729142
1982-02,Total Aircraft Arrivals And Departures,5375
1982-02,Total Passengers,636075
1982-03,Total Aircraft Arrivals And Departures,5921
1982-03,Total Passengers,693735
1982-04,Total Aircraft Arrivals And Departures,5638
1982-04,Total Passengers,667589
1982-05,Total Aircraft Arrivals And Departures,5590
1982-05,Total Passengers,675233
1982-06,Total Aircraft Arrivals And Departures,5545
1982-06,Total Passengers,731708
1982-07,Total Aircraft Arrivals And Departures,5738
1982-07,Total Passengers,762582
1982-08,Total Aircraft Arrivals And Departures,5777
1982-08,Total Passengers,794148
1982-09,Total Aircraft Arrivals And Departures,5641
1982-09,Total Passengers,700226
1982-10,Total Aircraft Arrivals And Departures,5754
1982-10,Total Passengers,707962
1982-11,Total Aircraft Arrivals And Departures,5457
1982-11,Total Passengers,731550
1982-12,Total Aircraft Arrivals And Departures,5765
1982-12,Total Passengers,781862
1983-01,Total Aircraft Arrivals And Departures,5671
1983-01,Total Passengers,686749
1983-02,Total Aircraft Arrivals And Departures,5282
1983-02,Total Passengers,655858
1983-03,Total Aircraft Arrivals And Departures,5649
1983-03,Total Passengers,697684
1983-04,Total Aircraft Arrivals And Departures,5484
1983-04,Total Passengers,667350
1983-05,Total Aircraft Arrivals And Departures,5685
1983-05,Total Passengers,701404
1983-06,Total Aircraft Arrivals And Departures,5498
1983-06,Total Passengers,737906
1983-07,Total Aircraft Arrivals And Departures,5658
1983-07,Total Passengers,742363
1983-08,Total Aircraft Arrivals And Departures,5828
1983-08,Total Passengers,795479
1983-09,Total Aircraft Arrivals And Departures,5674
1983-09,Total Passengers,723604
1983-10,Total Aircraft Arrivals And Departures,5815
1983-10,Total Passengers,716388
1983-11,Total Aircraft Arrivals And Departures,5556
1983-11,Total Passengers,724244
1983-12,Total Aircraft Arrivals And Departures,5794
1983-12,Total Passengers,830123
1984-01,Total Aircraft Arrivals And Departures,5746
1984-01,Total Passengers,734069
1984-02,Total Aircraft Arrivals And Departures,5512
1984-02,Total Passengers,706296
1984-03,Total Aircraft Arrivals And Departures,5795
1984-03,Total Passengers,720520
1984-04,Total Aircraft Arrivals And Departures,5702
1984-04,Total Passengers,762504
1984-05,Total Aircraft Arrivals And Departures,5932
1984-05,Total Passengers,779161
1984-06,Total Aircraft Arrivals And Departures,5875
1984-06,Total Passengers,803912
1984-07,Total Aircraft Arrivals And Departures,5998
1984-07,Total Passengers,810193
1984-08,Total Aircraft Arrivals And Departures,6112
1984-08,Total Passengers,880911
1984-09,Total Aircraft Arrivals And Departures,5902
1984-09,Total Passengers,790793
1984-10,Total Aircraft Arrivals And Departures,5988
1984-10,Total Passengers,787115
1984-11,Total Aircraft Arrivals And Departures,5925
1984-11,Total Passengers,790133
1984-12,Total Aircraft Arrivals And Departures,6187
1984-12,Total Passengers,900044
1985-01,Total Aircraft Arrivals And Departures,6108
1985-01,Total Passengers,768508
1985-02,Total Aircraft Arrivals And Departures,5688
1985-02,Total Passengers,751999
1985-03,Total Aircraft Arrivals And Departures,6181
1985-03,Total Passengers,834356
1985-04,Total Aircraft Arrivals And Departures,6061
1985-04,Total Passengers,784903
1985-05,Total Aircraft Arrivals And Departures,6157
1985-05,Total Passengers,775913
1985-06,Total Aircraft Arrivals And Departures,6104
1985-06,Total Passengers,877773
1985-07,Total Aircraft Arrivals And Departures,6147
1985-07,Total Passengers,836088
1985-08,Total Aircraft Arrivals And Departures,6374
1985-08,Total Passengers,907057
1985-09,Total Aircraft Arrivals And Departures,6139
1985-09,Total Passengers,798452
1985-10,Total Aircraft Arrivals And Departures,6137
1985-10,Total Passengers,790129
1985-11,Total Aircraft Arrivals And Departures,5932
1985-11,Total Passengers,803441
1985-12,Total Aircraft Arrivals And Departures,6195
1985-12,Total Passengers,928211
1986-01,Total Aircraft Arrivals And Departures,6127
1986-01,Total Passengers,807085
1986-02,Total Aircraft Arrivals And Departures,5696
1986-02,Total Passengers,771454
1986-03,Total Aircraft Arrivals And Departures,6212
1986-03,Total Passengers,806335
1986-04,Total Aircraft Arrivals And Departures,6045
1986-04,Total Passengers,773449
1986-05,Total Aircraft Arrivals And Departures,6268
1986-05,Total Passengers,772100
1986-06,Total Aircraft Arrivals And Departures,6049
1986-06,Total Passengers,872208
1986-07,Total Aircraft Arrivals And Departures,6247
1986-07,Total Passengers,874633
1986-08,Total Aircraft Arrivals And Departures,6358
1986-08,Total Passengers,928049
1986-09,Total Aircraft Arrivals And Departures,6003
1986-09,Total Passengers,837989
1986-10,Total Aircraft Arrivals And Departures,6039
1986-10,Total Passengers,825774
1986-11,Total Aircraft Arrivals And Departures,5863
1986-11,Total Passengers,846396
1986-12,Total Aircraft Arrivals And Departures,6115
1986-12,Total Passengers,952247
1987-01,Total Aircraft Arrivals And Departures,6161
1987-01,Total Passengers,885309
1987-02,Total Aircraft Arrivals And Departures,5619
1987-02,Total Passengers,808397
1987-03,Total Aircraft Arrivals And Departures,6340
1987-03,Total Passengers,874058
1987-04,Total Aircraft Arrivals And Departures,6113
1987-04,Total Passengers,853540
1987-05,Total Aircraft Arrivals And Departures,6422
1987-05,Total Passengers,880365
1987-06,Total Aircraft Arrivals And Departures,6288
1987-06,Total Passengers,962928
1987-07,Total Aircraft Arrivals And Departures,6508
1987-07,Total Passengers,1006201
1987-08,Total Aircraft Arrivals And Departures,6763
1987-08,Total Passengers,1045218
1987-09,Total Aircraft Arrivals And Departures,6320
1987-09,Total Passengers,928063
1987-10,Total Aircraft Arrivals And Departures,6464
1987-10,Total Passengers,936870
1987-11,Total Aircraft Arrivals And Departures,6392
1987-11,Total Passengers,942284
1987-12,Total Aircraft Arrivals And Departures,6886
1987-12,Total Passengers,1080560
1988-01,Total Aircraft Arrivals And Departures,6729
1988-01,Total Passengers,969411
1988-02,Total Aircraft Arrivals And Departures,6516
1988-02,Total Passengers,947520
1988-03,Total Aircraft Arrivals And Departures,6727
1988-03,Total Passengers,1020237
1988-04,Total Aircraft Arrivals And Departures,6698
1988-04,Total Passengers,978738
1988-05,Total Aircraft Arrivals And Departures,6975
1988-05,Total Passengers,968082
1988-06,Total Aircraft Arrivals And Departures,6856
1988-06,Total Passengers,1057159
1988-07,Total Aircraft Arrivals And Departures,7147
1988-07,Total Passengers,1106853
1988-08,Total Aircraft Arrivals And Departures,7240
1988-08,Total Passengers,1137586
1988-09,Total Aircraft Arrivals And Departures,6792
1988-09,Total Passengers,1036348
1988-10,Total Aircraft Arrivals And Departures,7048
1988-10,Total Passengers,1056306
1988-11,Total Aircraft Arrivals And Departures,7069
1988-11,Total Passengers,1100585
1988-12,Total Aircraft Arrivals And Departures,7133
1988-12,Total Passengers,1216461
1989-01,Total Aircraft Arrivals And Departures,6952
1989-01,Total Passengers,1107283
1989-02,Total Aircraft Arrivals And Departures,6516
1989-02,Total Passengers,1050398
1989-03,Total Aircraft Arrivals And Departures,7145
1989-03,Total Passengers,1160644
1989-04,Total Aircraft Arrivals And Departures,7190
1989-04,Total Passengers,1089718
1989-05,Total Aircraft Arrivals And Departures,7365
1989-05,Total Passengers,1100198
1989-06,Total Aircraft Arrivals And Departures,7209
1989-06,Total Passengers,1171689
1989-07,Total Aircraft Arrivals And Departures,7342
1989-07,Total Passengers,1222448
1989-08,Total Aircraft Arrivals And Departures,7343
1989-08,Total Passengers,1240544
1989-09,Total Aircraft Arrivals And Departures,7260
1989-09,Total Passengers,1195918
1989-10,Total Aircraft Arrivals And Departures,7562
1989-10,Total Passengers,1196750
1989-11,Total Aircraft Arrivals And Departures,7593
1989-11,Total Passengers,1244156
1989-12,Total Aircraft Arrivals And Departures,7944
1989-12,Total Passengers,1356621
1990-01,Total Aircraft Arrivals And Departures,8070
1990-01,Total Passengers,1272188
1990-02,Total Aircraft Arrivals And Departures,7358
1990-02,Total Passengers,1183722
1990-03,Total Aircraft Arrivals And Departures,8130
1990-03,Total Passengers,1296306
1990-04,Total Aircraft Arrivals And Departures,7891
1990-04,Total Passengers,1236082
1990-05,Total Aircraft Arrivals And Departures,8250
1990-05,Total Passengers,1250117
1990-06,Total Aircraft Arrivals And Departures,7930
1990-06,Total Passengers,1318779
1990-07,Total Aircraft Arrivals And Departures,8123
1990-07,Total Passengers,1324661
1990-08,Total Aircraft Arrivals And Departures,8214
1990-08,Total Passengers,1384333
1990-09,Total Aircraft Arrivals And Departures,8009
1990-09,Total Passengers,1257513
1990-10,Total Aircraft Arrivals And Departures,8337
1990-10,Total Passengers,1280024
1990-11,Total Aircraft Arrivals And Departures,8433
1990-11,Total Passengers,1334484
1990-12,Total Aircraft Arrivals And Departures,8930
1990-12,Total Passengers,1482549
1991-01,Total Aircraft Arrivals And Departures,8615
1991-01,Total Passengers,1233440
1991-02,Total Aircraft Arrivals And Departures,7883
1991-02,Total Passengers,1087214
1991-03,Total Aircraft Arrivals And Departures,8600
1991-03,Total Passengers,1200026
1991-04,Total Aircraft Arrivals And Departures,8572
1991-04,Total Passengers,1238184
1991-05,Total Aircraft Arrivals And Departures,9015
1991-05,Total Passengers,1246966
1991-06,Total Aircraft Arrivals And Departures,8981
1991-06,Total Passengers,1467963
1991-07,Total Aircraft Arrivals And Departures,9198
1991-07,Total Passengers,1405019
1991-08,Total Aircraft Arrivals And Departures,9303
1991-08,Total Passengers,1505693
1991-09,Total Aircraft Arrivals And Departures,9033
1991-09,Total Passengers,1391759
1991-10,Total Aircraft Arrivals And Departures,9455
1991-10,Total Passengers,1403076
1991-11,Total Aircraft Arrivals And Departures,9733
1991-11,Total Passengers,1475565
1991-12,Total Aircraft Arrivals And Departures,10340
1991-12,Total Passengers,1630134
1992-01,Total Aircraft Arrivals And Departures,10196
1992-01,Total Passengers,1421867
1992-02,Total Aircraft Arrivals And Departures,9736
1992-02,Total Passengers,1464483
1992-03,Total Aircraft Arrivals And Departures,10093
1992-03,Total Passengers,1408279
1992-04,Total Aircraft Arrivals And Departures,10001
1992-04,Total Passengers,1432848
1992-05,Total Aircraft Arrivals And Departures,10475
1992-05,Total Passengers,1367468
1992-06,Total Aircraft Arrivals And Departures,10222
1992-06,Total Passengers,1542834
1992-07,Total Aircraft Arrivals And Departures,10703
1992-07,Total Passengers,1574162
1992-08,Total Aircraft Arrivals And Departures,10741
1992-08,Total Passengers,1626682
1992-09,Total Aircraft Arrivals And Departures,10415
1992-09,Total Passengers,1498673
1992-10,Total Aircraft Arrivals And Departures,10752
1992-10,Total Passengers,1473008
1992-11,Total Aircraft Arrivals And Departures,10804
1992-11,Total Passengers,1557646
1992-12,Total Aircraft Arrivals And Departures,11388
1992-12,Total Passengers,1732205
1993-01,Total Aircraft Arrivals And Departures,11322
1993-01,Total Passengers,1650043
1993-02,Total Aircraft Arrivals And Departures,10020
1993-02,Total Passengers,1419927
1993-03,Total Aircraft Arrivals And Departures,11192
1993-03,Total Passengers,1597919
1993-04,Total Aircraft Arrivals And Departures,11181
1993-04,Total Passengers,1565152
1993-05,Total Aircraft Arrivals And Departures,11544
1993-05,Total Passengers,1537191
1993-06,Total Aircraft Arrivals And Departures,11308
1993-06,Total Passengers,1717822
1993-07,Total Aircraft Arrivals And Departures,11681
1993-07,Total Passengers,1717189
1993-08,Total Aircraft Arrivals And Departures,11702
1993-08,Total Passengers,1825434
1993-09,Total Aircraft Arrivals And Departures,11235
1993-09,Total Passengers,1608241
1993-10,Total Aircraft Arrivals And Departures,11729
1993-10,Total Passengers,1658633
1993-11,Total Aircraft Arrivals And Departures,11592
1993-11,Total Passengers,1738822
1993-12,Total Aircraft Arrivals And Departures,12256
1993-12,Total Passengers,1950841
1994-01,Total Aircraft Arrivals And Departures,11985
1994-01,Total Passengers,1690558
1994-02,Total Aircraft Arrivals And Departures,11212
1994-02,Total Passengers,1674645
