x,y
10.529,39.105
10.799,40.584
11.698,39.883
12.851,39.411
13.565,40.760
13.595,41.414
15.116,41.249
15.793,41.682
16.883,40.942
18.185,41.411
19.332,41.298
21.034,41.808
22.225,41.552
23.526,40.836
25.218,42.936
26.888,42.554
29.055,41.523
30.488,43.813
32.717,42.640
34.582,43.796
36.438,44.671
39.926,44.268
42.687,45.475
45.085,43.298
49.065,45.132
51.233,44.242
55.191,44.253
58.868,44.742
63.385,45.207
67.638,45.771
71.806,44.747
76.746,47.010
81.569,46.772
86.797,44.967
93.221,48.189
99.709,48.793
106.798,48.273
114.015,47.112
121.255,46.418
129.522,48.740
138.098,47.480
147.384,49.302
157.334,48.485
169.149,49.451
179.856,49.028
192.099,49.575
204.907,49.076
219.454,51.048
233.621,49.586
249.936,50.059
