x1,x2,x3,y
7.892,318.818,162.970,2112.420
8.830,303.180,181.399,2096.231
13.811,296.231,145.849,2067.045
12.863,325.830,167.996,2269.262
13.698,254.035,171.892,1966.604
7.245,338.258,159.495,2182.474
14.575,282.345,168.768,2123.294
12.064,287.402,161.476,2094.163
12.250,290.189,150.278,2083.949
9.856,321.242,164.036,2132.982
14.253,279.320,143.108,2216.035
57.418,0.416,-146.921,2226.136
13.630,305.332,176.058,2273.905
14.069,330.162,125.335,2251.415
10.268,337.392,160.519,2295.870
13.829,348.583,155.396,2346.189
14.371,411.415,158.167,2557.870
9.735,332.406,156.821,2178.143
17.830,336.877,173.483,2479.445
13.016,325.419,171.626,2158.834
15.622,283.616,151.496,2187.006
13.145,337.575,163.818,2321.067
11.966,307.290,144.116,2047.840
12.461,333.257,165.736,2277.690
14.689,332.328,163.603,2185.987
9.952,321.092,163.509,2090.005
6.662,289.732,162.237,1925.340
12.970,265.541,156.703,2073.740
10.975,301.708,160.500,2038.512
14.443,313.250,148.217,2188.570
9.670,326.396,152.677,2132.494
13.561,338.731,176.832,2366.826
21.505,709.691,125.621,2243.579
13.110,313.423,151.049,2121.856
12.776,301.278,147.748,2148.053
15.482,345.624,138.795,2282.477
39.646,287.110,344.797,2213.481
-29.581,522.695,139.120,2088.578
14.349,332.379,149.153,2344.998
8.804,328.286,166.884,2155.175
14.852,309.421,143.432,2319.237
10.792,322.172,160.579,2120.886
13.551,337.121,177.658,2436.292
15.712,306.823,168.918,2374.976
10.609,297.576,149.998,2102.601
18.828,359.599,154.887,2523.515
9.452,254.143,152.603,1939.183
10.370,325.780,158.076,2225.104
18.926,268.907,162.094,2264.897
8.840,4.855,38.268,2253.522
10.778,343.766,160.197,2292.419
12.025,324.413,163.913,2240.784
11.349,301.503,162.591,2015.192
15.764,356.478,155.959,2332.521
14.117,303.599,160.662,2152.359
14.820,290.999,150.156,2106.469
10.867,294.749,155.468,2057.274
16.921,275.344,174.935,2122.744
11.177,336.730,158.043,2303.636
9.779,352.084,166.319,2315.752
11.197,327.864,147.390,2123.082
16.644,298.195,154.482,2387.206
6.295,277.853,160.282,1787.623
17.874,331.721,169.281,2387.257
8.109,278.441,163.015,1806.045
12.914,353.017,140.565,2258.660
7.692,297.806,179.784,2038.664
16.600,321.247,171.597,2393.230
14.134,298.537,161.597,2172.549
11.891,315.451,155.187,2198.448
14.529,308.952,171.562,2333.727
7.039,322.613,165.373,2000.053
11.510,370.362,164.056,2253.989
9.007,346.858,157.101,2186.476
10.587,330.593,156.512,2215.287
13.851,308.101,163.040,2275.226
38.218,434.206,63.655,2355.536
10.420,300.405,163.645,2030.565
9.437,347.286,169.893,2256.368
18.537,355.236,160.491,2517.802
10.357,363.021,174.099,2449.675
13.465,331.688,165.109,2325.131
11.014,305.267,144.630,1958.054
9.737,306.268,152.218,2088.929
13.824,294.504,176.322,2136.281
10.460,296.283,162.781,2185.297
10.877,330.247,175.537,2340.912
14.561,301.493,151.908,2217.824
17.024,326.555,165.888,2388.411
10.147,308.083,164.961,2185.745
-15.634,158.773,156.295,2293.185
10.793,307.804,149.989,2059.965
12.867,297.858,159.869,2101.495
13.062,333.718,170.173,2252.324
10.752,298.631,165.927,2141.902
25.369,71.071,-68.462,2250.168
22.802,664.228,242.766,2188.530
12.840,282.247,160.396,2163.312
9.351,303.555,159.949,1968.634
12.023,334.269,141.597,2162.923
17.183,316.765,156.617,2363.286
9.849,366.628,146.897,2278.149
12.577,344.244,155.376,2404.308
-27.755,899.041,300.329,2335.691
7.941,355.418,145.535,2091.050
15.273,341.288,144.016,2358.364
9.825,381.002,167.859,2275.436
16.015,335.388,168.427,2422.709
9.477,343.316,146.229,2182.252
5.616,272.471,167.153,1876.513
16.491,249.128,157.146,1987.064
5.743,341.435,152.106,1988.845
12.219,331.217,178.207,2323.894
9.406,306.828,140.376,1992.155
12.544,267.038,166.504,2067.543
11.686,308.871,155.686,2106.825
11.341,375.156,171.369,2404.370
13.854,334.027,165.895,2289.662
6.672,308.099,154.551,1992.631
15.858,327.464,166.027,2289.772
9.390,369.618,145.966,2297.713
10.504,331.901,159.717,2189.640
11.050,338.419,174.507,2359.804
13.364,323.488,152.252,2298.982
14.681,276.905,146.734,2102.648
9.878,327.065,156.022,2184.532
11.707,347.500,156.400,2276.356
10.524,285.573,161.406,1953.755
11.797,321.548,172.190,2328.823
7.590,287.812,175.164,2004.867
6.026,338.082,142.303,2108.874
14.434,334.051,170.088,2315.275
15.907,313.703,149.108,2247.183
18.404,353.834,157.190,2654.832
14.806,337.435,177.984,2395.674
15.958,323.172,151.959,2232.797
6.828,285.478,179.282,2005.836
9.677,354.745,147.510,2304.754
13.069,362.425,160.646,2490.213
8.524,365.075,155.610,2365.939
10.830,308.208,159.181,2089.957
11.379,371.716,151.730,2339.593
9.868,368.010,178.839,2268.222
16.297,325.565,157.826,2253.059
13.363,379.388,155.393,2409.297
11.740,313.837,156.332,2121.238
8.432,291.201,163.842,2053.138
11.113,319.110,167.055,2278.455
11.731,324.187,158.995,2304.305
10.854,294.118,170.078,2178.060
7.984,337.804,173.888,2126.436
14.413,345.359,152.764,2297.579
12.787,311.627,183.091,2265.481
39.474,55.695,92.331,2174.326
12.331,290.609,171.455,2195.793
7.478,344.172,156.726,2164.629
10.818,279.119,157.602,1925.796
13.912,337.379,161.285,2370.959
9.620,263.593,168.154,1828.911
17.483,345.297,156.468,2289.925
12.770,351.560,171.315,2427.014
14.642,290.202,159.164,2210.550
-8.945,502.071,245.019,2014.571
9.243,321.869,155.767,2086.458
14.772,300.531,157.919,2210.247
7.713,283.477,153.803,1970.548
13.582,315.108,156.078,2276.228
11.966,369.234,157.630,2474.685
11.269,346.015,160.554,2367.959
13.838,414.861,161.706,2713.866
13.288,309.415,160.843,2255.286
12.024,316.569,134.572,2127.635
13.149,329.425,163.483,2276.877
17.437,295.329,158.508,2225.332
6.483,283.575,176.647,2020.522
12.978,310.542,165.616,2106.950
12.318,271.298,151.289,2054.162
6.462,273.792,161.641,1827.583
10.902,344.158,165.520,2317.021
13.343,299.978,142.361,2203.075
10.831,272.805,156.588,2002.654
13.849,337.696,157.369,2289.029
10.181,307.953,159.307,2133.770
9.610,353.250,146.094,2271.353
18.911,280.386,144.112,2099.077
14.771,271.052,163.349,2030.586
13.258,324.678,155.431,2280.578
13.691,284.784,166.765,2192.372
10.957,364.781,137.515,2160.688
13.565,353.753,179.768,2392.068
7.509,265.147,165.114,1846.258
12.243,353.323,149.712,2349.798
13.682,343.887,170.622,2427.794
8.471,300.908,145.237,2012.417
13.766,314.491,154.077,2221.477
